hash,path,created,modified,filesize,count,action
3d3db1bf75a5af811da2a4cb6b42478d,../1/New Folder With Items/Escritorio copy 2.JPG,2020-04-10 21:19:33,2019-06-28 10:08:37,116077,1,keep
3d3db1bf75a5af811da2a4cb6b42478d,../1/New Folder With Items/Escritorio copy 4.JPG,2020-04-10 21:19:33,2019-06-28 10:08:37,116077,1,delete
89441b1331da1679c98ac30c2c6004cd,../1/New Folder With Items/Escritorio.JPG,2020-04-10 21:19:33,2019-06-28 10:05:30,130174,1,Keep
89441b1331da1679c98ac30c2c6004cd,../1/Escritorio copy 7.JPG,2020-04-10 21:20:02,2019-06-28 10:05:30,130174,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f 2.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,Keep
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 2.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 3 2.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 3.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f copy 4.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f copy.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,delete
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy 3.JPG,2020-04-10 21:19:33,2019-06-28 10:07:50,106405,1,Keep
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy 5.JPG,2020-04-10 21:19:33,2019-06-28 10:07:50,106405,1,delete
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy 6.JPG,2020-04-10 21:19:33,2019-06-28 10:07:50,106405,1,delete
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy.JPG,2020-04-10 21:19:33,2019-06-28 10:07:50,106405,1,delete
